FOLIO,NOMBRE COMERCIAL,Directorio,REPRESENTANTE LEGAL,DOMICILIO,MUNICIPIO,NOMBRE(S),ENTREGA,VIGENCIA,Acerca,QUEJAS Y DENUNCIAS,FOTO
SDE/COL/REAI/037,LARA´S HOME INMOBILIARIA,,,"2 DE DICIEMBRE # 18, FRAC. LOMA DE SANTIAGO, MANZANILLO",MANZANILLO,SDE/COL/REAI/037-057 - LETICIA FLORES LARA,29/11/2024,29/11/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d60b29e06e_037_LARAS_HOME_INMOBILIARIA.jpeg
SDE/COL/REAI/038,TORRES ASESOR DE INVERSION INMOBILIARIA,,,"JOSÉ VASCONCELOS 507, COL. NUEVO SALAGUA, MANZANILLO",MANZANILLO,SDE/COL/REAI/038-058 - ERICKA EDITH MEJÍA ALFARO,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d585610b60_038_TORRES_ASESOR_DE_INVERSIN_INMOBILIARIA.jpeg
SDE/COL/REAI/039,INMOBILIARIA GIR        ,,,"CUAUHTEMOC 19, COL. VIVEROS PELAYO, MANZANILLO",MANZANILLO,SDE/COL/REAI/039-059 YESENIA RAMOS GONZÁLEZ    SDE/COL/REAI/039-078 GIOVANNA SARAI HERNÁNDEZ RAMOS,29/11/2024,29/11/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,SDE/COL/REAI/040,FOLIOS CANCELADO POR FALTA DE DOCUMENTOS,,,FOLIOS CANCELADO POR FALTA DE DOCUMENTOS,,FOLIOS CANCELADO POR FALTA DE DOCUMENTOS,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d62388641d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro_1.png
SDE/COL/REAI/041,PASTORA'S BIENES RAICES,,,"ORQUÍDEAS 31, BARRIO III, COL. VALLE DE LAS GARZAS, MANZANILLO", MANZANILLO,SDE/COL/REAI/041-061 - PASTORA JOSEFINA CABRERA VÁZQUEZ,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d585af1d3c_041_PASTORAS_BIENES_RAICES.jpeg
SDE/COL/REAI/042,ABONDANZZA INMOBILIARIA,,,"CALLE 2 # 8, UNIDAD PADRE HIDALGO, MANZANILLO", MANZANILLO,SDE/COL/REAI/042-062  MARTHA LILIANA CARREÓN OROZCO ,29/11/2024,29/11/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a0098a34_042_ABONDANZZA.jpeg
SDE/COL/REAI/043,GLAFEL BIENES RAICES,,,"MAR MEDITERRANEO 161, COTO 7, VILLA DEL MAR, MANZANILLO", MANZANILLO,SDE/COL/REAI/043-063 - MARÍA DEL ROCIO ÁLVAREZ MADERA,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d585f89128_043_GLAFEL_BIENES_RAICES.jpeg
SDE/COL/REAI/044,INMOBILIARIA BRISA MAR,,,"NARANJO 2 L-3, COL. LAS HUERTAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/044-064 - MARTHA ELVIRA ÁLVAREZ ELIZONDO,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5861c9116_044_BRISAMAR_INMOBILIARIA.jpeg
SDE/COL/REAI/045,MONTIEL INMOBILIARIA AM S.A. DE C.V.,,MAGDALENA MONTIEL SOLIS,"PASEO DE LAS GAVIOTAS 27-1, COL. SOLEARES, MANZANILLO",MANZANILLO,"SDE/COL/REAI/045-065-  MAGDALENA MONTIEL SOLIS SDE/COL/REAI/045-066 -  ARTURO AMEZCUA MONTEL SDE/COL/REAI/045-067 -  SANDRA VERÓNICA PONCE GUTIÉRREZ",29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d64902150b_045_AM_ESPACIOS.jpg
SDE/COL/REAI/046,INMOBILIARIA LUNA AZUL,,,"C. MERCURIO 188, L-3, COL. VALLE DE LAS GARZAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/046-068 -  FRANCISCO MONROY PLAZOLA,29/10/2024,29/10/2024,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d586496240_046_LUNA_AZUL_INMOBILIARIA.jpeg
SDE/COL/REAI/047,NORT BIENES RAICES,,,"C. SAN JERÓNIMO 423, COL. CRUZ DE COMALA, VILLA DE ÁLVAREZ, COLIMA",COMALA,SDE/COL/REAI/047-071  -  NORMA ANGÉLICA TRUJILLO TRUJILLO,10/12/2024,10/12/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a05397db_047_NORT.png
"SDE/COL/REAI/048",CONSORCIO INMOBILIARIO BRADEL,,ALMA DELIA LÓPEZ MEJÍA,"ELIAS ZAMORA VERDUZCO 2047, COL. VALLE DE LAS GARZAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/048-072,10/12/2024,10/12/2027,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1fe1f38eb_048_BRADEL_INMOBILIARIA_2.jpeg
SDE/COL/REAI/049,ADY BAUTISTA REAL ESTATE,,ADRIANA ELIZABETH HERNÁNDEZ BAUTISTA,"AND. PLAYA DE MIRAMAR 43-A, COL. LAS BRISAS, MANZANILLO, COL.",MANZANILLO,SDE/COL/REAI/049-073,21/01/2025,21/01/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b2089e7901_049_ADY_BAUTISTA_1.png
SDE/COL/REAI/050,CASAS Y TERRENOS MANZANILLO,,VALENTIN CABRERA CASTILLO,"CALLE IRIS 151, COL. VALLE ALTO, SANTIAGO, MANZANILLO",MANZANILLO,SDE/COL/REAI/050-074,22/01/2025,22/01/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1fe44246f_050_CASAS_Y_TERRENOS_MANZANILLO_2.jpeg
SDE/COL/REAI/051,LIBELULA INMOBILIARIA,,YOLANDA INES GUTIÉRREZ HERMOSILLO,"LIMON 58, BARIO 3, COL. VALLE DE LAS GARZAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/051-077,23/01/2024,23/01/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5dd35f29d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro.png
SDE/COL/REAI/052,GOSSY SERVICIOS FINANCIEROS E INMOBILIARIOS,,SANDRA YAZMÍN GÓMEZ SÁNCHEZ,"MOLUSCO 193, COL. LA JOYA 2, MANZANILLO",MANZANILLO,SDE/COL/REAI/052-084,27/02/2025,27/02/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5dd35f29d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro.png
SDE/COL/REAI/053,MC BIENES RAICES,,,"C. AGUSTÍN SANTACRUZ 514, COL. JARDINES VISTA HERMOSA, COLIMA",COLIMA,SDE/COL/REAI/053-085 -  MONICA MAGAÑA MENDOZA,27/2/2025,27/2/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a077bfcd_053_MC_BR.png
SDE/COL/REAI/054,PALMAZER INGENIERIA EN BIENES RAÍCES ,,,"IGNACIO SANDOVAL 1351 L-5, COL. JARDINES VISTA HERMOSA, COLIMA",COLIMA,SDE/COL/REAI/054-086  - PAOLA SUSANA RAMIÍREZ VALLEJO,,,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a09bd354_054_PALMAZER.png
SDE/COL/REAI/055,INMOBILIARIA ROYAL ESTATES,,GABRIELA MIRANDA VARGAS,"AV. CONSTITUCIÓN 2008, RESIDENCIAL SANTA GERTRUDIS, COLIMA",COLIMA,"SDE/COL/REAI/055-087        GABRIELA MIRANDA VARGAS SDE/COL/REAI/055-088         J. GUADALUPE MADRIGAL LOMELÍ SDE/COL/REAI/055-089         MA GABRIELA VAN HASSELT RUELAS SDE/COL/REAI/055-090         PATRICIA AMPARO ALANIS BARRIGA SDE/COL/REAI/055-091         ADRIANA ÁLVAREZ ÁLVAREZ SDE/COL/REAI/055-092         MAYRA ANTONIA RAMÍREZ GÓNZALEZ SDE/COL/REAI/055-093         MARÍA AUGENIA SOTELO MEJÍA SDE/COL/REAI/055-094         MARCO ANTONIO MORALES ESCOBAR SDE/COL/REAI/055-095  MARÍA FERNANDA CAMOU VERDUGO SDE/COL/REAI/055-096 AURORA DEL PILAR ZARATE OROPEZA SDE/COL/REAI/055-097 MYRNA MUÑOZ RUÍZ   SDE/COL/REAI/055-098 MARÍA ERENDIRA HERNÁNDEZ LÓPEZ SDE/COL/REAI/055-099  ADRIANA HERNÁNDEZ MENDOZA SDE/COL/REAI/055-100  HELENA LETICIA BRAVO ALFARO SDE/COL/REAI/055-101  ZAMIA AMPARO GÚZMAN DEL CASTILLO",27/2/2025,27/2/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a126b245_055_ROYAL_ESTATES.png
SDE/COL/REAI/056,SERVICIOS INMOBILIARIOS MX,,,"CALLE 13, 86-C, COL,. VALLE DE LAS GARZAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/056-102  -  ADELA VALERIO NAVARRO,27/2/2025,27/2/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a14c332d_056_SERVICIOS_IMX.jpg
SDE/COL/REAI/057,VALPHO                      VALUACIÓN E INMOBILIARIA,,,"BLVD. MIGUEL DE LA MADRID 1017, COL. PLAYA AZUL, MANZANILLO",MANZANILLO,SDE/COL/REAI/057-103  -  JORGE PAULINO TALAVERA MEJÍA     SDE/COL/REAI/057-104   -  UGO ADALID SANCHEZ-GOMEZ GUTIERREZ ,7/3/2025,7/3/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a171043a_057_VALPHO.jpeg
SDE/COL/REAI/058,MY CASA DYNASTY REAL ESTATE,,,"REVOLUCIÓN 42, SANTIAGO, MANZANILLO",MANZANILLO,SDE/COL/REAI/058-105   -  NANCi-LU GARCÍA GONZÁLEZ     SDE/COL/REAI/058-106    -  CARLOS ARNULFO GÓMEZ GONZÁLEZ,7/3/2025,7/3/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a1951ef4_058_MY_CASA_DYNASTY.jpg
SDE/COL/REAI/059,MB BIENES RAÍCES                                REAL ESTATE,,,"ESTRELLA DE MAR 117, DESPACHO # 1, COL. ALMENDROS, MANZANILLO",MANZANILLO,SDE/COL/REAI/059-107 - MIRLO BERENICE MAYER ARREDONDO,7/3/2025,7/3/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a1b91eef_059_MB_BR.png
SDE/COL/REAI/060,CASAS & CASAS                 BIENES RAICES,,,"CALLE 11, No. 36, BARRIO V, VALLE DE LAS GARZAS, MANZANILLO",MANZANILLO,SDE/COL/REAI/060-108  -  ALICIA ÁLVAREZ RAMÍREZ,28/3/2025,28/3/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a1e08570_060_CASAS__CASAS.jpg
SDE/COL/REAI/061,,,SIN NOMBRE COMERCIAL Y SIN LOGO ,"AND. SIN NOMBRE No. 95, SECTOR 3, MANZANILLO",MANZANILLO,SDE/COL/REAI/061-109  -  MARTIN GONZÁLEZ ARIAS,28/3/2025,28/3/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5dd35f29d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro.png
SDE/COL/REAI/062,INMOBILIARIA FUTURO MX ,,,"PABLO CASTELLANOS 10-B, SALAGUA, MANZANILLO",MANZANILLO,SDE/COL/REAI/062-110  -  JORGE FEREGRINO ACEVES,31/3/2025,31/3/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a204f236_062_I_FUTURO_MX.jpeg
SDE/COL/REAI/063,INMOBILIARIA MEILLON,,,"CALLE 9 No. 206, CENTRO, MANZANILLO",MANZANILLO,SDE/COL/REAI/063-111  - DENNIS JOSE NAUPOLD MEILLON,8/4/2025,8/4/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a2294b9f_063_I_MEILLON.jpeg
SDE/COL/REAI/064,11 ONCE INMOBILIARIA & CONSTRUCCIÓN ,,,"TEKUAN 145, VILLA IZCALLI CAXITLAN, VILLA DE ÁLVAREZ",VILLA DE ÁLVAREZ,SDE/COL/REAI/064-113  -  NOHEMY LORELEY HERRERA VÁZQUEZ,10/4/2025,10/4/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a25190c3_064_ONCE_I.jpeg
SDE/COL/REAI/065,MARFIL SOLUCIONES,,,"AV. CONSTITUCIONI 1825-9, LOMAS VERDES, COLIMA",COLIMA,SDE/COL/REAI/065-114 - ALAN RUÍZ MARTÍN DEL CAMPO,10/4/2025,10/4/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a275f5b9_065_MARFIL_SOL.jpeg
SDE/COL/REAI/066,JC Y DM SOLUCIONES INMOBILIARIAS DE MÉXICO,,SIN LOGO,"AV. AYUNTAMIENTO 605, VILLA DE BUGAMBILIAS, VILLA DE ÁLVAREZ ",VILLA DE ÁLVAREZ,SDE/COL/REAI/066-115 - IRMA DELIA HURTADO MARTÍNEZ      ,10/4/2025,10/4/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_677d5dd35f29d_Logotipo_tipografico_rectangular_minimalista_blanco_y_negro.png
SDE/COL/REAI/067,CAPITAL HOUSE    SERVICIOS INMOBILIARIOS,,,"VENUSTIANO CARRANZA 1180 A2, FRAC. SANTA BÁRBARA, COLIMA",COLIMA,SDE/COL/REAI/067-116 - CARLOS ARNOLDO PINEDA TRILLO,30/4/2025,30/4/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,http://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a29a7803_067_CAPITAL_HOUSE.jpeg
SDE/COL/REAI/068,OCEANWORTH S.A. DE C.V.,,EDGAR FRANCISCO RAMIREZ ROBLES,"QUERETARO S/N, EL NARANJO, MANZANILLO",MANZANILLO,SDE/COL/REAI/068-117 - EDGAR FRANCISCO RAMIREZ ROBLES,30/4/2025,30/4/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_685b1a2be9bfd_068_OCEANWORTH.png
SDE/COL/REAI/069,MOGA BIENES RAICES ,,,"CULEBRA DE MAR 106, COL. LA JOYA 2, MANZANILLO, COLIMA",MANZANILLO,SDE/COL/REAI/069 - 118 NORMA LETICIA GAYTAN MARTÍNEZ,22/5/2025,22/5/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,
SDE/COL/REAI/070,INMOBILIARIA VOLCAN ,,,"ANTONIO M. CEDEÑO 19, COL. JARDINES VISTA HERMOSA, COLIMA",COLIMA,SDE/COL/REAI/070-119 - FERNANDO EFRAÍN RAMOS SALAZAR,21/5/2025,21/5/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,
SDE/COL/REAI/071,,,,"GUILLERMO PRIETO 164, COL. GUADALAJARITA, COLIMA",COLIMA,SDE/COL/REAI/071-120 - JAVIER ISAAC CASTELLANOS CISNEROS,22/5/2025,22/5/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,
SDE/COL/REAI/072,BN REAL ESTATE,,,"INDEPENDENCIA 22-A, SANTIAGO, MANZANILLO, COLIMA",MANZANILLO,"SDE/COL/REAI/072-121 - BARBARA ELENA NAVARRO OLIVER SDE/COL/REAI/072-122 -  ELIZABETH  MENESES PARRA",25/8/2025,25/8/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,
SDE/COL/REAI/073,CARMEN MORENO,,,"PRIVADA DE LA CIMA 2, PENINSULA DE SANTIAGO, MANZANILLO, COLIMA",MANZANILLO,SDE/COL/REAI/073-123 - MARIA DEL CARMEN MORENO CORREA,26/8/2025,26/8/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,
SDE/COL/REAI/074,DERDE REAL ESTATE GROUP,,,"BLVD. MIGUEL DE LA MADRID 22, COL. ABELARDO L. RODRÍGUEZ, MANZANILLO, COLIMA",MANZANILLO,SDE/COL/REAI/074-124 - DERDE LUIS EXPOSITO GUTIERREZ ,4/9/2025,5/9/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,
SDE/COL/REAI/075,FORMANZZA BIENES RAICES,,,"REY LUIS XVI No. 421, COL. COLINAS DEL REY, VILLA DE ALVAREZ, COLIMA",VILLA DE ÁLVAREZ,SDE/COL/REAI/075-125 - ABEL AHUIMADA ZEPEDA,22/9/2025,22/9/2028,,Para este Agente Inmobiliario no se han presentado quejas ni denuncias,
SDE/COL/REAI-UA/001,ASOCIACIÓN MEXICANA DE PROFESIONALES INMOBILIARIOS DE COLIMA A.C.,,SERGIO ARNOLDO SHULTE DE LA MADRID,"AV. CONSTITUCIÓN No. 2171-9, FRACC. LOS OLIVOS",COLIMA,SDE/COL/REA-UA/001,29/09/2025,29/09/2028,,Constancia como Unidad Acreditadora,
SDE/COL/REAI-UA/002,RED INTEGRAL CI/ UNIVERSIDAD NACIONAL INMOBILIARIA DE MÉXICO,,JENNY EDITH GÓMEZ MUÑOZ,"AZCAPOTZALCO 504, COL. NEXTENGO, AZCAPOTZALCO, CDMX",CDMX,SDE/COL/REAI-UA/002,04/02/2026,04/02/2029,,Constancia como Unidad Acreditadora,https://admiweb.col.gob.mx/archivos_prensa/banco_img/file_698fa20b21055_UNIM.png
